date,title,category,page
2025-06-23,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S1,S1,1
2025-06-30,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-06-30,Periodo de aplicación de encuestas evaluación de asignaturas bimestrales y profesores periodo 2025‐B2,B2,1
2025-06-30,Publicación resultados postulaciones a Intercambios primer semestre 2026,,1
2025-07-07,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-07-07,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B2 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B2,1
2025-07-14,Exámenes recuperativos asignaturas semestrales Periodo 2025‐S1,S1,1
2025-07-28,Inicio del Segundo Semestre 2025,,1
2025-07-28,"Primera etapa inscripción de asignaturas semestrales Primer Ciclo, periodo 2025‐S2",S2,1
2025-04-22,Periodo de aplicación de encuestas evaluación de asignaturas bimestrales y profesores periodo 2025‐B1,B1,1
2025-04-22,Presentación Ingeniería en Diseño / Presentación Licenciaturas Ingeniería Comercial,,1
2025-04-29,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B1 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B1,1
2025-05-06,SUSPENSION DE CLASES PARA ESTUDIANTES 1ER y 2DO CICLONIVELACIONES ACADÉMICAS,,1
2025-05-13,No hay evaluaciones académicas primer y segundo ciclo,,1
2025-06-17,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S1,S1,1
2025-06-17,Desinscripción de Asignaturas Cursos BimestralesPeriodo 2025‐B2,B2,1
2025-06-24,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S1,S1,1
2025-07-01,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-07-01,Periodo de aplicación de encuestas evaluación de asignaturas bimestrales y profesores periodo 2025‐B2,B2,1
2025-07-01,Publicación resultados postulaciones a Intercambios primer semestre 2026,,1
2025-07-08,"PERIODO DE EXÁMENES FINALES ASIGNATURAS SEMESTRALES PERIODO 2025‐S1, PRIMER Y SEGUNDO CICLO",S1,1
2025-07-08,"Periodo de Evaluaciones Finales Cursos Bimestrales Periodo 2025‐B2 Segundo Ciclo(Ingeniería Comercial, Ingeniería en Diseño y Psicología)",B2,1
